id, Latitude, Longitude, Listed, 
526, -6.26448393, 53.3309631, 2, 
527, -6.31038809, 53.3656082, 2, 
530, -6.36771297, 53.2891, 2, 
532, -6.23332691, 53.4206543, 2, 
535, -6.3935709, 53.322979, 2, 
536, -6.32489, 53.2963, 2, 
540, -6.303092, 53.3898773, 2, 
541, -6.17165709, 53.297802, 2, 
542, -6.23645878, 53.3421669, 2, 
543, -6.30051613, 53.3453712, 2, 
544, -6.29740715, 53.3870239, 2, 
547, -6.26497793, 53.4025421, 2, 
548, -6.2413311, 53.4605141, 2, 
552, -6.3444438, 53.3108292, 2, 
555, -6.2625041, 53.3520737, 2, 
556, -6.18593, 53.3985138, 2, 
557, -6.21434116, 53.3345947, 2, 
559, -6.21455, 53.3856583, 2, 
561, -6.22578382, 53.3638153, 2, 
565, -6.24563, 53.3343658, 2, 
570, -6.26538897, 53.3441849, 2, 
572, -6.21756601, 53.2782173, 2, 
575, -6.28106785, 53.2944527, 2, 
576, -6.25515509, 53.3683815, 2, 
577, -6.13576508, 53.1690826, 2, 
583, -6.09805822, 53.3730621, 2, 
584, -6.20027924, 53.4008713, 2, 
586, -6.13651419, 53.4333572, 2, 
587, -6.39382696, 53.3556633, 2, 
590, -6.25709, 53.3643265, 2, 
591, -6.24919415, 53.3524284, 2, 
593, -6.23541212, 53.3420334, 2, 
594, -6.25928402, 53.3479805, 2, 
598, -6.26285315, 53.2750397, 2, 
599, 0, 0, 2, 
600, -6.10135221, 53.2046394, 2, 
601, -6.30605, 53.3406944, 2, 
604, -6.23407698, 53.3207, 2, 
605, -6.10220289, 53.3812065, 2, 
607, -6.15217304, 53.4025307, 2, 
613, -6.22342396, 53.3397, 2, 
617, -6.38286781, 53.2781944, 2, 
619, -6.29450607, 53.322464, 2, 
620, -6.26748323, 53.3440933, 2, 
621, -6.24023294, 53.4040794, 2, 
625, -6.30436707, 53.4031, 2, 
626, -6.27526808, 53.3307495, 2, 
627, -6.4020009, 53.2792511, 2, 
630, -6.08015585, 53.3888206, 2, 
631, -6.08255, 53.1556664, 2, 
639, -6.20528, 53.3638496, 2, 
640, -6.25911, 53.3463898, 2, 
642, -6.12928295, 53.2482491, 2, 
644, -6.39531422, 53.3930626, 2, 
647, -6.26532793, 53.3360367, 2, 
648, -6.25023, 53.3510971, 2, 
650, -6.2601738, 53.3494186, 2, 
651, -6.24500084, 53.3880577, 2, 
653, -6.39462, 53.3201332, 2, 
655, -6.23645878, 53.3421669, 2, 
656, -6.29683399, 53.3306808, 2, 
658, -6.25556707, 53.3490562, 2, 
659, -6.25483799, 53.3422394, 2, 
662, -6.13685179, 53.2578125, 2, 
663, -6.21651697, 53.3620224, 2, 
669, -6.2656908, 53.3561478, 2, 
670, 0, 0, 2, 
674, -6.13823414, 53.2931747, 2, 
675, -6.2725811, 53.3394241, 2, 
676, -6.26294613, 53.3540268, 2, 
678, 0, 0, 2, 
679, -6.24236584, 53.3620033, 2, 
680, -6.25911, 53.3465729, 2, 
681, -6.37537909, 53.2841377, 2, 
682, -6.28225, 53.3102341, 2, 
684, -6.2554431, 53.367218, 2, 
685, -6.18724823, 53.3968658, 2, 
687, -6.26164913, 53.3469543, 2, 
688, -6.20763683, 53.2881126, 2, 
690, -6.26463, 53.3441772, 2, 
693, -6.58972788, 53.3804665, 2, 
695, -6.24285793, 53.3574562, 2, 
701, -6.37654305, 53.2863693, 2, 
704, -6.37541199, 53.3915977, 2, 
710, -6.15098715, 53.4023094, 2, 
712, -6.25973511, 53.3522072, 2, 
714, -6.2523241, 53.3457756, 2, 
715, -6.25398302, 53.3349113, 2, 
717, -6.23126, 53.3642159, 2, 
719, -6.18435383, 53.6044693, 2, 
723, -6.26851511, 53.3324699, 2, 
